n2	HAC131	51.3697620635	-32.2139965696	319.4763	-0.2823	0.308491905772	16.5754218219	0.35	-177.0	1.4539340741	12.9199620553	90.66	-0.252508094228	65.835	-0.314262141343	-153.464668622	-3.17798026814	15.5258961858	16.888	17.11	0.6488838	0.111	53482.29667	319.665833333	-0.215861111111	-23.5353313782
n2	HAC210	33.2906797856	-33.6176755339	313.59387	-14.34826	0.0303654553674	15.8810743785	1.11	119.0	1.25533079729	10.6302701444	117.716	-0.563634544633	97.831	-0.681634544633	186.145610498	292.055994806	13.6795714921	16.63	15.53	0.52776	0.042	55881.0750443	313.79625	-14.2895833333	-67.1456104983
n2	HAC11	35.3931399828	-26.6413986488	307.86799	-9.80557	0.116384289337	16.1620888605	0.93	-315.0	2.05775453325	15.4874498259	111.308	-0.474615710663	90.253	-0.577423565995	-261.920788233	-141.278601257	17.7197385695	16.741	15.66	0.5356668	0.129	53524.92049	308.06625	-9.75372222222	-53.0792117668
n2	HAC211	41.4934417121	-31.1593997499	314.36135	-7.03973	0.947	16.3197222475	0.43	-320.0	1.99746614615	13.0626363985	93.508	0.4075	69.203	0.2815	-348.79257725	-218.430892579	19.9351638705	16.67	15.6	0.801	0.054	53917.3390174	314.555833333	-6.98111111111	28.79257725
n2	HAC177	52.6386275541	-37.4774216017	324.46875	-2.25112	0.103220580494	16.2107374767	0.57	45.0	1.80512930608	11.9818886328	98.492	-0.489169129259	75.097	-0.593169129259	91.8468557364	234.330557827	14.7544463831	16.658	15.56	0.5819479	0.074	53705.30404	324.658333333	-2.18280555556	-46.8468557364
n2	HAC9	39.5794961059	-24.5814075605	307.70441	-5.50855	0.502582539998	16.5763323563	0.8	27.0	1.88359115	11.3738987404	106.68	0.00387380999744	84.78	0.00387380999744	27.3785788827	161.874206303	14.1244056271	16.657	15.34	0.5570484	0.094	53706.44223	307.899166667	-5.45827777778	-0.378578882657
n2	HAC195	44.6013100225	-44.9677182432	327.91451	-11.23821	0.504580855664	16.4708207035	0.45	-329.0	2.96624228027	11.8551435047	94.22	0.00687128349533	70.045	0.00687128349533	-329.027117893	-217.20117146	14.5151270068	16.619	15.34	0.6479794	0.073	53705.43207	328.114166667	-11.1683055556	0.0271178933138
n2	HAC96	49.3096987403	-30.1027206613	316.75254	-0.66449	0.115472543283	16.1721766042	0.78	-148.0	2.1091684815	15.3339607569	105.968	-0.475791185076	83.938	-0.578527456717	-97.9419021106	51.81364017	17.5857438102	16.711	15.23	0.5280528	0.166	53482.16976	316.940833333	-0.603805555556	-50.0580978894
n2	HAC105	45.6651246428	-32.5321016949	317.27205	-4.57895	0.113863198389	16.3286298066	0.51	-273.0	2.04633320918	12.2548108606	96.356	-0.478136801611	72.571	-0.580205202417	-228.515985616	-90.692506126	14.9769296617	16.736	15.31	0.6611548	0.19	53706.2206	317.465	-4.517	-44.4840143839
n2	HAC102	35.9348337141	-36.4163323993	317.12882	-13.48412	0.488726325471	16.5601498934	0.76	125.0	2.20465367562	11.0641660532	105.256	-0.0169105117942	83.096	-0.0179105117942	127.202250014	235.797678654	13.8760153976	16.683	15.31	0.7076885	0.125	53712.57771	317.328333333	-13.4243055556	-2.20225001415
n2	HAC145	44.1041355373	-37.9098946278	321.3978	-8.28595	0.510834246871	16.6891213385	0.87	16.0	1.84299682886	11.7133531366	109.172	0.0162513703072	87.727	0.0172513703072	16.0022303337	140.901352084	14.4021769603	16.706	15.55	0.540739	0.113	53705.41665	321.591666667	-8.22080555556	-0.00223033368322
n2	HAC131	51.3697620635	-32.2139965696	319.4763	-0.2823	0.308491905772	16.5754218219	0.35	-177.0	1.4539340741	12.9199620553	90.66	-0.252508094228	65.835	-0.314262141343	-153.464668622	-3.17798026814	15.5258961858	16.888	17.11	0.6488838	0.111	53482.29667	319.665833333	-0.215861111111	-23.5353313782
n2	HAC210	33.2906797856	-33.6176755339	313.59387	-14.34826	0.0303654553674	15.8810743785	1.11	119.0	1.25533079729	10.6302701444	117.716	-0.563634544633	97.831	-0.681634544633	186.145610498	292.055994806	13.6795714921	16.63	15.53	0.52776	0.042	55881.0750443	313.79625	-14.2895833333	-67.1456104983
n2	HAC11	35.3931399828	-26.6413986488	307.86799	-9.80557	0.116384289337	16.1620888605	0.93	-315.0	2.05775453325	15.4874498259	111.308	-0.474615710663	90.253	-0.577423565995	-261.920788233	-141.278601257	17.7197385695	16.741	15.66	0.5356668	0.129	53524.92049	308.06625	-9.75372222222	-53.0792117668
n2	HAC211	41.4934417121	-31.1593997499	314.36135	-7.03973	0.947	16.3197222475	0.43	-320.0	1.99746614615	13.0626363985	93.508	0.4075	69.203	0.2815	-348.79257725	-218.430892579	19.9351638705	16.67	15.6	0.801	0.054	53917.3390174	314.555833333	-6.98111111111	28.79257725
n2	HAC177	52.6386275541	-37.4774216017	324.46875	-2.25112	0.103220580494	16.2107374767	0.57	45.0	1.80512930608	11.9818886328	98.492	-0.489169129259	75.097	-0.593169129259	91.8468557364	234.330557827	14.7544463831	16.658	15.56	0.5819479	0.074	53705.30404	324.658333333	-2.18280555556	-46.8468557364
n2	HAC9	39.5794961059	-24.5814075605	307.70441	-5.50855	0.502582539998	16.5763323563	0.8	27.0	1.88359115	11.3738987404	106.68	0.00387380999744	84.78	0.00387380999744	27.3785788827	161.874206303	14.1244056271	16.657	15.34	0.5570484	0.094	53706.44223	307.899166667	-5.45827777778	-0.378578882657
