HAC51	313.10546	6.25013	16.95	0.171	16.88	53467.29837	0.5390124	53.6741886943	-23.3278376765
HAC52	313.17598	-1.16474	16.988	0.18	17.1	53481.21718	0.5268346	46.7345368567	-27.2852560313
HAC53	313.33800	-12.50613	16.69	0.112	15.53	53564.35907	0.5851153	35.1830265733	-32.6458895815
HAC54	313.39140	-1.46868	16.986	0.21	17.02	53481.60471	0.6118113	46.56016071	-27.6241029366
HAC55	313.39245	-1.32079	17.192	0.199	18.76	53482.51472	0.6029741	46.7050770125	-27.5507836914
HAC56	313.42073	-12.47131	17.12	0.116	18.99	53564.48873	0.7460549	35.2603147113	-32.7050863706
HAC57	313.42286	-12.69344	16.782	0.112	16.15	53563.06457	0.5961781	35.0206646205	-32.7984848509
HAC58	313.42751	-12.60174	16.664	0.111	15.21	53563.95422	0.6738722	35.1223006528	-32.7649010778
HAC59	313.43136	-12.53100	16.772	0.107	16.07	53563.79769	0.5437463	35.2007799972	-32.7391733701
HAC60	313.45038	-4.65741	16.914	0.198	16.21	53706.29025	0.457299	43.4322478113	-29.238650547
HAC61	313.45347	-12.61245	16.741	0.113	15.87	53563.89038	0.6032724	35.1230981112	-32.7923978242
HAC62	313.60971	-13.87103	17.14	0.07	19.43	53564.07873	0.6521179	33.8233374795	-33.4420923497
HAC63	313.69198	0.29884	16.728	0.151	15.46	53874.93071	0.5644813	48.44546231	-26.985250662
HAC64	313.80325	-13.62387	16.864	0.065	16.93	53563.46982	0.4758338	34.1851740264	-33.5151973159
HAC65	313.83826	-1.17943	16.968	0.223	16.82	53481.68646	0.6055948	47.096594851	-27.8646111759
HAC66	313.92165	-12.32231	17.134	0.122	18.92	53563.14906	0.6271794	35.6630012973	-33.0888002398
HAC67	314.35142	-6.65986	17.056	0.099	18.43	53705.50433	0.6149044	41.8810019037	-30.9744826676
HAC68	314.43350	-1.32706	16.912	0.202	16.59	53481.1446	0.6032906	47.293409399	-28.4526815364
HAC69	314.53143	-15.13065	16.92	0.088	17.46	53711.74484	0.6410889	32.8490958425	-34.7582100132
HAC70	314.58670	-9.44593	16.955	0.138	17.26	53712.40248	0.5765998	39.0867661339	-32.4464971159
HAC71	314.59096	-2.89353	16.993	0.15	17.4	53706.40797	0.4827254	45.8345582185	-29.3735054546
HAC72	314.60007	1.28100	17.063	0.165	17.88	53706.40715	0.5490065	49.9182911624	-27.250967384
HAC73	314.60445	-16.51203	16.931	0.115	17.29	53712.15126	0.6055329	31.3208914285	-35.3482675907
HAC74	314.61976	0.35339	16.911	0.15	16.9	53705.70085	0.7233864	49.0375751761	-27.7515578996
HAC75	314.70440	-18.86787	17.081	0.121	18.52	53563.35601	0.6229998	28.6525349305	-36.2851683082
HAC76	314.84845	-12.55440	16.937	0.082	17.54	53712.31877	0.5315663	35.8591117872	-34.0087246399
HAC77	314.86917	-10.19657	17.161	0.235	18.1	53705.92245	0.5374792	38.4301080783	-33.0260071716
HAC78	314.93914	-16.72282	17.238	0.139	19.6	53712.6092	0.515062	31.2268610091	-35.724344138
HAC79	315.00965	-12.07357	16.833	0.093	16.65	53712.41196	0.5625066	36.4654401874	-33.9520774424
HAC80	315.03626	0.45058	16.997	0.148	17.32	53481.46086	0.4661368	49.3764643946	-28.0568734173
HAC81	315.08865	-14.85274	17.131	0.082	19.19	53711.9745	0.5564737	33.4167939646	-35.1460842829
HAC82	315.17549	3.07673	16.982	0.196	17.02	53481.27994	0.6869717	51.968700481	-26.7833068212
HAC83	315.24958	0.66522	16.983	0.151	17.38	53482.58711	0.5899444	49.7102141195	-28.1267390806
HAC84	315.29410	-11.69823	16.613	0.088	15.28	53712.11734	0.6095264	37.0173405351	-34.0469938233
HAC85	315.29606	-12.55101	17.007	0.064	18.17	53712.47829	0.512399	36.0813007428	-34.4051302682
HAC86	315.36822	-18.65530	16.681	0.122	15.27	53563.45712	0.4484229	29.1726183328	-36.8006001776
HAC87	315.37609	-11.18742	16.948	0.175	16.91	53705.40323	0.487404	37.6161705643	-33.9028586803
HAC88	315.47503	6.09597	16.992	0.134	17.72	53466.47662	0.7008843	54.9618278923	-25.3766988162
HAC89	315.88349	-2.06484	16.723	0.137	15.48	53481.53096	0.454232	47.4053109849	-30.0760703246
HAC90	315.91066	-11.83043	17.099	0.102	18.64	53712.05463	0.5288937	37.1805517173	-34.6500384788
HAC91	315.92048	-13.01857	16.698	0.067	15.84	53713.06147	0.6788737	35.8677273875	-35.1525563609
HAC92	316.57132	-9.09145	17.095	0.195	17.83	53705.12131	0.4847188	40.5097060356	-34.042164901
HAC93	316.64026	-12.21596	17.211	0.074	19.97	53712.74937	0.6472354	37.1193509401	-35.4595685485
HAC94	316.71384	-0.80928	16.764	0.141	15.71	53481.38195	0.5427522	49.1434348997	-30.1449183268
HAC95	316.73036	-5.03477	16.876	0.161	16.48	53705.40005	0.6789253	44.8816426778	-32.2838763954
HAC96	316.75254	-0.66449	16.711	0.166	15.23	53482.16976	0.5280528	49.3096987403	-30.1027206613
HAC97	316.88536	-2.03157	17.054	0.11	18.45	53481.42433	0.5392559	48.0294369978	-30.9212805708
HAC98	316.89503	1.41846	16.82	0.235	15.57	53482.32849	0.7062526	51.4307070095	-29.1234224509
HAC99	316.94973	-16.73925	17.038	0.109	18.07	53711.76572	0.5071308	32.0952082256	-37.5193635361
HAC100	316.95681	-15.06051	16.893	0.134	16.83	53712.96381	0.5991877	34.0489691937	-36.8894426259
HAC101	317.03462	-11.10396	16.844	0.139	16.45	53705.50559	0.5478155	38.5556489523	-35.3371672857
HAC102	317.12882	-13.48412	16.683	0.125	15.31	53712.57771	0.7076885	35.9348337141	-36.4163323993
HAC103	317.12928	-13.48415	16.681	0.125	15.33	53706.23256	0.7076675	35.9350252159	-36.4167534058
HAC104	317.25175	-4.89271	16.893	0.27	15.82	53705.65728	0.5540335	45.3287198098	-32.6682510913
HAC105	317.27205	-4.57895	16.736	0.19	15.31	53706.2206	0.6611548	45.6651246428	-32.5321016949
HAC106	317.37999	-18.54434	17.248	0.109	19.97	53561.39999	0.5139797	30.1424920047	-38.5494880194
HAC107	317.44263	-14.79301	16.695	0.141	15.31	53711.96138	0.5665796	34.58702798	-37.2173526731
HAC108	317.55411	-13.76251	17.186	0.122	19.29	53705.08765	0.4502797	35.825862449	-36.9069408498
HAC109	317.67684	-11.08184	17.186	0.112	19.38	53705.39137	0.6810161	38.914444779	-35.8962688503
HAC110	317.70478	-6.68795	17.2	0.122	19.34	53705.35774	0.5127766	43.706117307	-33.9279778848
HAC111	317.72824	-0.15820	16.889	0.198	16.29	53481.97474	0.5276288	50.4025678451	-30.6679617186
HAC112	317.84982	-9.03017	17.049	0.31	16.61	53705.58345	0.6110445	41.2677709118	-35.1414222239
HAC113	317.98465	-8.54458	17.05	0.18	17.6	53704.83946	0.6030523	41.8702890292	-35.038976407
HAC114	318.02589	-6.16862	16.713	0.168	15.29	53706.06475	0.5848678	44.4398117374	-33.9604981855
HAC115	318.28816	3.53046	16.953	0.164	17.02	53480.11392	0.4545585	54.3262914868	-29.1342888879
HAC116	318.29407	-10.15773	16.899	0.313	15.49	53705.42376	0.5710197	40.2690333876	-36.0378962279
HAC117	318.41197	-4.65859	17.245	0.156	19.51	53705.94499	0.5539043	46.2510329846	-33.5597895511
HAC118	318.51813	-12.91574	16.64	0.097	15.22	53705.75475	0.5495889	37.276431817	-37.4174105072
HAC119	318.62034	-15.47583	16.78	0.12	15.93	53712.55297	0.4918196	34.3486179654	-38.5300845879
HAC120	318.71910	-16.09230	16.792	0.175	15.87	53712.38478	0.633867	33.6646237219	-38.8526504533
HAC121	318.75783	-1.94396	16.819	0.104	16.49	53481.98227	0.4902963	49.2502687414	-32.4804091169
HAC122	318.76975	-13.84623	16.962	0.123	17.35	53705.15637	0.5053731	36.329164206	-38.0209758837
