HAC66&	20:55:41.20&	-12:19:20.32&	V = 17.256&	D = 18.92&	   &	   \
HAC67&	20:57:24.34&	-06:39:35.50&	V = 17.155&	D = 18.43&	   &	   \
HAC68&	20:57:44.04&	-01:19:37.42&	V = 17.114&	D = 16.59&	   &	   \
HAC69&	20:58:07.54&	-15:07:50.34&	V = 17.008&	D = 17.46&	   &	   \
HAC70&	20:58:20.81&	-09:26:45.35&	V = 17.093&	D = 17.26&	   &	   \
HAC71&	20:58:21.83&	-02:53:36.71&	V = 17.143&	D = 17.4&	-281.0&	MDM\
HAC72&	20:58:24.02&	+01:16:51.60&	V = 17.228&	D = 17.88&	   &	   \
HAC73&	20:58:25.07&	-16:30:43.31&	V = 17.046&	D = 17.29&	   &	   \
HAC74&	20:58:28.74&	+00:21:12.20&	V = 17.061&	D = 16.9&	   &	   \
HAC75&	20:58:49.06&	-18:52:04.33&	V = 17.202&	D = 18.52&	   &	   \
HAC76&	20:59:23.63&	-12:33:15.84&	V = 17.019&	D = 17.54&	   &	   \
HAC77&	20:59:28.60&	-10:11:47.65&	V = 17.396&	D = 18.1&	   &	   \
HAC78&	20:59:45.39&	-16:43:22.15&	V = 17.377&	D = 19.6&	   &	   \
HAC79&	21:00:02.32&	-12:04:24.85&	V = 16.926&	D = 16.65&	   &	   \
HAC80&	21:00:08.70&	+00:27:02.09&	V = 17.145&	D = 17.32&	   &	   \
HAC81&	21:00:21.28&	-14:51:09.86&	V = 17.213&	D = 19.19&	   &	   \
HAC82&	21:00:42.12&	+03:04:36.23&	V = 17.178&	D = 17.02&	71.9&	MDM\
HAC83&	21:00:59.90&	+00:39:54.79&	V = 17.134&	D = 17.38&	   &	   \
HAC84&	21:01:10.58&	-11:41:53.63&	V = 16.701&	D = 15.28&	   &	   \
HAC85&	21:01:11.05&	-12:33:03.64&	V = 17.071&	D = 18.17&	   &	   \
HAC86&	21:01:28.37&	-18:39:19.08&	V = 16.803&	D = 15.27&	   &	   \
HAC87&	21:01:30.26&	-11:11:14.71&	V = 17.123&	D = 16.91&	   &	   \
HAC88&	21:01:54.01&	+06:05:45.49&	V = 17.126&	D = 17.72&	   &	   \
HAC89&	21:03:32.04&	-02:03:53.42&	V = 16.86&	D = 15.48&	   &	   \
HAC90&	21:03:38.56&	-11:49:49.55&	V = 17.201&	D = 18.64&	   &	   \
